site,sampleID,interval,rmcd,d13C,d18O
1168A,23X4W,60–62,209.66,0.46,2.28
1168A,23X4W,60–62,209.66,0.51,2.59
1168A,23X4W,60–62,209.66,0.4,2.23
1168A,23X4W,60–62,209.66,0.46,2.39
1168A,23X4W,60–62,209.66,0.43,2.49
1168A,23X6W,60–62,212.66,1.22,2.53
1168A,23X6W,60–62,212.66,1.28,2.26
1168A,23X6W,60–62,212.66,1.36,2.54
1168A,24X1W,125.5–127.5,215.56,0.95,2.15
1168A,24X1W,125.5–127.5,215.56,1.04,2.23
1168A,24X1W,125–127,215.56,0.78,2.35
1168A,24X1W,125.5–127.5,215.56,0.97,1.96
1168A,24X3W,60–62,217.9,0.98,1.86
1168A,24X3W,121–123,218.51,0.88,1.74
1168A,24X3W,121–123,218.51,0.97,1.97
1168A,24X4W,60–62,219.4,1.08,1.98
1168A,24X4W,60–62,219.4,1.75,1.95
1168A,24X5W,60–62,220.9,1.07,2.39
1168A,24X5W,60–62,220.9,1.05,2.24
1168A,24X5W,60–62,220.9,1.22,2.4
1168A,24X5W,107–109,221.37,0.81,2.29
1168A,24X5W,107–109,221.37,1.07,2.13
1168A,24X5W,107–109,221.37,0.85,1.96
1168A,24X5W,107–109,221.37,1.32,2.43
1168A,24X6W,60–62,222.4,1.12,2
1168A,24X6W,60–62,222.4,0.84,2.36
1168A,24X6W,60–62,222.4,0.86,2.37
1168A,24X6W,60–62,222.4,1.13,2.37
1168A,25X1W,60–62,224.61,1.04,0.94
1168A,25X1W,60–62,224.61,1.87,0.93
1168A,25X1W,60–62,224.61,1.57,1.95
1168A,25X1W,60–62,224.61,1.67,1.97
1168A,25X2W,60–62,226.11,0.77,2.44
1168A,25X2W,60–62,226.11,0.66,2.05
1168A,25X2W,60–62,226.11,0.76,2.22
1168A,25X2W,121–123,226.72,1,2.38
1168A,25X2W,121–123,226.72,0.75,1.9
1168A,25X2W,121–123,226.72,1.84,1.66
1168A,25X3W,60–62,227.61,1.01,2.45
1168A,25X5W,60–62,230.61,0.98,2.15
1168A,25X5W,60–62,230.61,0.92,1.79
1168A,25X6W,60–62,232.11,1.29,2.3
1168A,26X1W,60–62,233.61,0.98,1.99
1168A,26X1W,60–62,233.61,0.91,2.11
1168A,26X1W,60–62,233.61,0.9,1.94
1168A,26X1W,60–62,233.61,0.86,2.08
1168A,26X1W,60–62,233.61,0.72,1.78
1168A,26X2W,60–62,235.11,0.83,2.12
1168A,26X2W,60–62,235.11,0.78,2.15
1168A,26X2W,60–62,235.11,0.95,1.89
1168A,26X2W,60–62,235.11,0.87,2.22
1168A,26X2W,60–62,235.11,0.71,1.68
1168A,26X2W,60–62,235.11,0.77,1.87
1168A,26X2W,60–62,235.11,0.98,1.84
1168A,26X2W,60–62,235.11,0.85,2.16
1168A,26X2W,60–62,235.11,0.86,2.23
1168A,26X3W,60–62,236.61,0.94,1.87
1168A,26X3W,60–62,236.61,0.77,1.64
1168A,26X3W,60–62,236.61,0.87,1.89
1168A,26X5W,60–62,238.11,1.07,1.77
1168A,26X5W,60–62,238.11,0.88,1.62
1168A,26X5W,60–62,238.11,0.94,1.62
1168A,26X5W,60–62,238.11,0.97,1.63
1168A,26X4W,65–67,238.16,1.19,2
1168A,26X6W,60–62,241.11,1.01,2.03
1168A,26X6W,60–62,241.11,1.41,1.7
1168A,27X2W,60–62,244.95,1.5,2.16
1168A,27X2W,60–62,244.95,1.31,2.2
1168A,27X2W,60–62,244.95,1.63,2.18
1168A,27X2W,60–62,244.95,1.48,2.21
1168A,27X2W,60–62,244.95,1.36,2.12
1168A,27X2W,60–62,244.95,1.38,2.15
1168A,27X2W,60–62,244.95,1.52,2.12
1168A,27X2W,65–67,245,1.34,2.17
1168A,27X2W,65–67,245,1.39,2.1
1168A,27X2W,65–67,245,1.26,1.79
1168A,27X2W,65–67,245,1.51,2.15
1168A,27X2W,65–67,245,1.4,2.19
1168A,27X2W,65–67,245,1.48,2.06
1168A,27X2W,65–67,245,1.61,1.87
1168A,27X3W,60–62,246.45,1.12,1.71
1168A,27X4W,60–62,247.95,1.08,1.23
1168A,27X4W,60–62,247.95,1.05,1.4
1168A,27X4W,60–62,247.95,0.87,1.09
1168A,27X4W,60–62,247.95,1.18,1.7
1168A,27X4W,60–62,247.95,1.15,1.6
1168A,27X4W,60–62,247.95,1.24,1.45
1168A,27X5W,60–62,249.54,1.27,1.47
1168A,27X5W,60–62,249.54,1.33,1.69
1168A,27X6W,60–62,250.95,1.56,1.73
1168A,27X6W,60–62,250.95,1.44,1.66
1168A,28X1W,60–62,253.38,1,1.31
1168A,28X4W,60–62,257.8,1.34,1.47
1168A,28X4W,60–62,257.8,1.36,1.76
1168A,28X4W,60–62,257.8,1.39,1.65
1168A,28X4W,60–62,257.8,1.37,1.15
1168A,28X5W,60–62,259.3,0.94,1.27
1168A,28X5W,60–62,259.3,0.95,1.09
1168A,28X5W,60–62,259.3,1.03,1.39
1168A,28X5W,60–62,259.3,0.88,0.82
1168A,29X2W,60–62,263.71,1.1,1.28
1168A,29X2W,60–62,263.71,0.96,1.27
1168A,29X4W,60–62,266.71,0.79,1.27
1168A,29X4W,60–62,266.71,0.85,1.58
1168A,29X4W,60–62,266.71,0.89,1.54
1168A,29X4W,86–88,266.97,1.07,1.21
1168A,29X4W,86–88,266.97,1.03,1.14
1168A,29X4W,86–88,266.97,0.95,0.98
1168A,29X5W,60–62,268.21,1.26,1.53
1168A,29X5W,60–62,268.21,1.21,1.69
1168A,29X5W,60–62,268.21,1.16,1.54
1168A,29X5W,60–62,268.21,1.23,1.6
1168A,29X6W,60–62,269.71,0.97,1.37
1168A,29X6W,60–62,269.71,1.1,1.3
1168A,29X6W,60–62,269.71,1.04,1.5
1168A,29X6W,60–62,269.71,0.94,1.41
1168A,30X1W,20–25,271.64,1.6,1.6
1168A,30X2W,20–25,273.14,1.94,1.68
1168A,30X3W,20–25,274.64,1.32,1.29
1168A,30X4W,20–25,276.14,1.42,1.1
1168A,30X5W,20–25,277.64,1.43,1.31
1168A,30X6W,20–25,279.14,0.96,1.01
1168A,30X7W,20–25,280.14,1.23,1.19
1168A,31X1W,20–25,281,1.06,1.27
1168A,31X2W,20–25,282.5,0.88,1.4
1168A,31X3W,20–25,284,0.43,0.97
1168A,31X5W,20–25,287,0.79,1.61
1168A,31X6W,20–25,288.5,0.7,1.58
1168A,31X7W,20–25,290,0.82,1.83
1168A,32X1W,20–25,291.21,-0.07,1.07
1168A,32X2W,20–25,292.71,-0.26,1.25
1168A,32X3W,20–25,294.21,0.41,1.61
1168A,32X4W,20–25,295.71,0.39,1.29
1168A,32X5W,20–25,297.21,-0.09,1.49
1168A,32X6W,20–25,298.71,0.11,1.45
1168A,32X7W,20–25,299.71,1.47,0.43
1168A,33X1W,20–25,300.9,1.91,0.48
1168A,33X2W,20–25,302.4,0.98,0.91
1168A,33X3W,20–25,303.9,0.64,1.02
1168A,33X4W,20–25,305.4,0.87,1.22
1168A,33X5W,20–25,306.9,-0.07,1.58
1168A,33X6W,20–25,308.4,-4.49,1.64
1168A,34X1W,20–25,310.26,-0.14,1.54
1168A,34X2W,20–25,311.76,0.19,1.74
1168A,34X3W,20–25,313.26,-0.19,1.47
