site,sampleID,interval,rmcd,d13C,d18O,,,,,,,,
1168A,31X6W,58–60,288.89,1.44,1.02,,,,,,,,
1168A,31X7W,18–20,289.99,2.10,1.21,,,,,,,,
1168A,32X1W,25–27,291.27,1.51,0.94,,,,,,,,
1168A,32X2W,49–51,293.01,1.08,0.80,,,,,,,,
1168A,32X3W,25–27,294.27,1.63,1.30,,,,,,,,
1168A,32X4W,62–64,296.14,1.52,0.95,,,,,,,,
1168A,32X5W,26–28,297.28,0.03,0.80,,,,,,,,
1168A,32X6W,80–82,299.32,0.33,1.10,,,,,,,,
1168A,32X7W,25–27,299.77,-0.99,2.07,,,,,,,,
1168A,33X1W,62–64,301.33,0.98,1.06,,,,,,,,
1168A,33X2W,61–64,302.83,-0.17,1.03,,,,,,,,
1168A,33X4W,61–63,305.82,1.19,1.00,,,,,,,,
1168A,33X5W,64–66,307.35,0.20,1.01,,,,,,,,
1168A,33X6W,65–67,308.66,0.76,1.31,,,,,,,,
1168A,34X1W,62–64,310.69,1.00,1.54,,,,,,,,
1168A,34X2W,64–66,312.21,1.52,1.40,,,,,,,,
1168A,34X3W,57–59,313.64,1.80,1.22,,,,,,,,
1168A,34X4W,62–64,315.19,1.47,1.08,,,,,,,,
1168A,34X5W,42–44,316.49,-0.09,1.29,,,,,,,,
1168A,34X6W,65–67,318.22,1.21,1.25,,,,,,,,
1168A,34X7W,23–25,319.30,-1.17,1.90,,,,,,,,
1168A,35X1W,61–63,320.62,1.63,1.48,,,,,,,,
1168A,35X2W,64–66,322.15,0.04,1.32,,,,,,,,
1168A,35X3W,63.5–65.5,323.65,1.00,1.04,,,,,,,,
1168A,35X4W,62–64,325.13,-0.48,1.35,,,,,,,,
1168A,35X5W,57–59,326.58,0.69,0.99,,,,,,,,
1168A,35X6W,65–67,328.16,-0.57,1.03,,,,,,,,
1168A,36X1W,25–27,329.89,-0.30,1.34,,,,,,,,
1168A,36X2W,25–27,331.39,0.20,1.37,,,,,,,,
1168A,36X5W,25–27,335.89,0.50,1.48,,,,,,,,
1168A,36X6W,26–28,337.40,0.73,0.69,,,,,,,,
1168A,36X7W,25–27,338.89,-0.17,0.80,,,,,,,,
1168A,37X1W,25–27,339.86,0.43,1.01,,,,,,,,
1168A,37X3W,29–31,342.90,0.21,0.57,,,,,,,,
1168A,37X4W,25–27,344.36,0.66,0.66,,,,,,,,
1168A,37X5W,25–27,345.86,1.18,1.43,,,,,,,,
1168A,37X7W,25–27,348.86,-0.41,1.33,,,,,,,,
1168A,38X1W,62–64,350.07,1.52,1.47,,,,,,,,
1168A,38X3W,64–66,353.09,0.02,1.20,,,,,,,,
1168A,38X4W,61–63,354.56,0.23,1.02,,,,,,,,
1168A,38X5W,62–64,356.07,0.40,1.24,,,,,,,,
1168A,38X6W,65–67,357.60,0.69,1.27,,,,,,,,
1168A,39X1W,62–64,359.67,-0.17,1.05,,,,,,,,
1168A,39X2W,25–27,360.80,1.11,1.08,,,,,,,,
1168A,39X3W,25–27,362.30,0.76,1.23,,,,,,,,
1168A,39X4W,25–27,363.80,-0.67,1.59,,,,,,,,
1168A,39X5W,55–57,365.60,1.17,1.41,,,,,,,,
1168A,39X6W,25–27,366.80,0.79,1.11,,,,,,,,
1168A,39X7W,25–27,368.02,1.80,1.55,,,,,,,,
1168A,40X1W,62–64,369.20,-1.26,0.96,,,,,,,,
1168A,40X3W,57–59,373.15,1.38,1.38,,,,,,,,
1168A,40X5W,61.5–63.5,375.20,0.70,1.00,,,,,,,,
1168A,41X1W,57–59,378.90,1.29,1.07,,,,,,,,
1168A,41X3W,62–64,381.90,1.66,1.21,,,,,,,,
1168A,41X5W,60–62,384.87,-0.21,0.98,,,,,,,,
1168A,42X1W,62–64,388.78,1.53,0.91,,,,,,,,
1168A,42X3W,61–63,391.77,2.22,1.44,,,,,,,,
1168A,42X5W,62–64,394.77,1.81,1.18,,,,,,,,
1168A,43X1W,61–63,398.53,1.56,1.35,,,,,,,,
1168A,43X3W,61–63,401.53,1.67,1.15,,,,,,,,
1168A,43X5W,62–64,404.53,0.34,0.94,,,,,,,,
1168A,1H1W,8–10,0.37,0.20,1.07,,,,,,,,
1168A,1H1W,22–24,0.51,0.13,1.53,,,,,,,,
1168A,1H1W,37.5–39.5,0.67,0.41,2.70,,,,,,,,
1168A,1H1W,47.5–49.5,0.77,0.43,2.66,,,,,,,,
1168A,1H1W,63–65,0.92,1.44,2.71,,,,,,,,
1168A,1H1W,72–74,1.01,1.76,2.01,,,,,,,,
1168A,1H1W,"87,5–89,5",1.17,1.96,2.59,,,,,,,,
1168A,1H1W,102–104,1.31,1.54,2.67,,,,,,,,
1168A,1H1W,117–119,1.46,1.91,2.78,,,,,,,,
1168A,1H1W,127.5–129.5,1.57,1.84,1.87,,,,,,,,
1168A,1H1W,143–145,1.72,1.28,2.83,,,,,,,,
1168A,1H2W,7–9,1.86,1.16,2.73,,,,,,,,
1168A,1H2W,22–24,2.01,1.49,3.07,,,,,,,,
1168A,1H2W,32–34,2.11,1.45,3.08,,,,,,,,
1168A,1H2W,47–49,2.26,1.56,3.44,,,,,,,,
1168A,1H2W,62–64,2.41,1.45,2.95,,,,,,,,
1168A,1H2W,71.5–73.5,2.51,1.57,3.06,,,,,,,,
1168A,1H2W,87–89,2.66,1.64,3.38,,,,,,,,
1168A,1H2W,96.5–98.5,2.76,1.87,3.27,,,,,,,,
1168A,1H2W,112–115,2.90,1.92,1.93,,,,,,,,
1168A,1H2W,126–129,3.05,1.82,2.40,,,,,,,,
1168A,1H2W,141–143,3.20,1.89,2.65,,,,,,,,
1168A,1H3W,7.5–9.5,3.37,1.95,1.94,,,,,,,,
1168A,1H3W,22–24,3.51,1.64,2.71,,,,,,,,
1168A,1H3W,32.5–34.5,3.62,1.57,3.34,,,,,,,,
1168A,1H3W,47–49,3.76,1.60,2.91,,,,,,,,
1168A,1H3W,62–64,3.91,1.49,3.04,,,,,,,,
1168A,1H3W,76.5–78.5,4.06,1.28,3.01,,,,,,,,
1168A,1H3W,87–89,4.16,1.45,3.17,,,,,,,,
1168A,1H3W,102–104,4.31,1.66,3.35,,,,,,,,
1168A,1H3W,117–119,4.46,1.63,3.04,,,,,,,,
1168A,1H3W,126.5–128.5,4.56,1.23,2.76,,,,,,,,
1168A,1H3W,137–139,4.66,1.06,2.69,,,,,,,,
1168A,1H4W,7–9,4.86,0.62,2.26,,,,,,,,
1168A,1H4W,22–24,5.01,0.65,2.65,,,,,,,,
1168A,1H4W,32.5–34.5,5.12,0.42,2.81,,,,,,,,
1168A,1H4W,47–49,5.26,0.11,2.57,,,,,,,,
1168A,1H4W,62–64,5.41,1.24,2.42,,,,,,,,
1168A,1H4W,72–74,5.51,1.45,2.64,,,,,,,,
1168A,1H4W,87–89,5.66,1.56,2.69,,,,,,,,
1168A,1H4W,102–104,5.81,1.63,2.70,,,,,,,,
1168A,1H4W,117–119,5.96,1.16,2.68,,,,,,,,
1168A,1H4W,127–129,6.06,1.15,2.73,,,,,,,,
1168A,1H4W,137.5–139.5,6.17,0.93,2.53,,,,,,,,
1168A,1H5W,7.5–9.5,6.37,1.30,2.86,,,,,,,,
1168A,1H5W,22–24,6.51,1.03,2.47,,,,,,,,
1168A,1H5W,32.5–34.5,6.62,0.92,2.32,,,,,,,,
1168A,1H5W,47–49,6.76,1.38,2.41,,,,,,,,
1168A,1H5W,60–62,6.89,1.56,2.66,,,,,,,,
1168A,1H5W,62–64,6.91,1.66,2.77,,,,,,,,
1168A,1H5W,72.5–74.5,7.02,1.24,2.52,,,,,,,,
1168A,1H5W,87–89,7.16,0.32,2.18,,,,,,,,
1168A,1H5W,98–100,7.27,0.75,2.41,,,,,,,,
1168A,2H1W,10–13,9.97,0.87,2.31,,,,,,,,
1168A,2H1W,23–25,10.10,0.81,2.29,,,,,,,,
